"Lieferadresse_ID_Nr";"Lieferadresse_Name";"Lieferadresse_Strasse";"Lieferadresse_Hausnummer";"Lieferadresse_Land";"Lieferadresse_PLZ";"Lieferadresse_Ort";"Lieferadresse_Telefon";"Lieferadresse_Telefax"
"000000001";"Fraefel AG";"Lerchenfeld";"";"CH";"9601";"Lütisburg-Station";"71 982 80 80";"71 982 80 77"
"000000002";"Fraefel AG";"Lerchenfeld";"";"DE";"9601";"Lütisburg-Station";"";""
"000000004";"Fraefel AG";"Soorpark Gebäude I";"";"CH";"9606";"Bütschwil";"71 982 80 86";"71 982 80 76"
"000000005";"Gévier B.V.";"Nobelweg";"1";"NL";"4462";"GK Goes";"";""
"000000006";"Forster AG";"Emmentalstrasse";"58-60";"CH";"3414";"Oberburg";"34 423 13 23";"34 423 24 64"
"000000007";"nicht gebraucht";"Max-von-Laue- Strasse";"9";"DE";"86156";"Augsburg";"821 44 48 330";"821 44 48 339"
"000000008";"Fraefel AG - c/o Scherrer- Grämigen";"Grämigen";"";"CH";"9601";"Lütisburg-Station";"71 982 80 80";"71 982 80 77"
"000000009";"Miele AG";"Limmatstrasse";"4";"CH";"8957";"Spreitenbach";"564172000";"564172904"
"000000010";"Casa GU Immobiliendienstleistung";"Waldhöhenweg";"33";"CH";"3013";"Bern";"31 333 43 00";""
"000000011";"Pfeiffer & May GmbH";"";"";"DE";"";"";"";""
"000000012";"P+M Haustechnik Meisterbetrieb GdbR";"Prünstfehlburg";"15";"DE";"94353";"Haibach";"9963290942";"9963290943"
"000000014";"Laufen Benelux";"Hardwareweg";"36";"NL";"3621";"BM Amersfoort";"";""
"000000015";"Neubau PUMA PLAZA";"Zum Flughafen / Nordumgebung";"";"DE";"91074";"Herzogenaurach";"";""
"000000016";"Mathis 2002 GmbH";"Hauptstrasse";"290";"CH";"7223";"Buchen i. P.";"";"81 330 55 81"
"000000017";"Christoph Schmid";"Rheinstrasse";"67";"CH";"7012";"Felsberg";"";""
"000000018";"Dettli + Sahli AG";"Frohburgerstrasse";"17";"CH";"4132";"Muttenz";"";"61 465 30 33"
"000000019";"Mobil Werke AG";"Littenbachstrasse";"1";"CH";"9442";"Berneck";"";"71 747 81 39"
"000000020";"Fraefel AG";"Soorpark Gebäude G2";"";"CH";"9606";"Bütschwil";"71 982 81 13";"71 982 80 76"
"000000021";"Slomka";"Mühlstrasse";"8";"DE";"98544";"Zella-Mehlis";"";""
"000000022";"Fam. Kromer";"Friedweg (Whg.-Nr. 3, EG)";"";"CH";"5600";"Lenzburg";"";""
"000000023";"Mocada Kupperschmidt";"Dithmarscherstrasse";"41";"DE";"22049";"Hamburg";"";""
"000000024";"A. Wehrli AG";"Churerstrasse";"61";"CH";"9471";"Buchs";"";""
"000000025";"Pfeiffer & May";"Rheinallee";"122";"DE";"55120";"Mainz";"";""
"000000026";"Juergen Morlock";"Industriestrasse";"7";"DE";"75228";"Ispringen";"";""
"000000027";"Richter+Frenzel Deggendorf";"Graflingerstrasse";"125";"DE";"94469";"Deggendorf";"";""
