"VK-Auftrag";"VK";"VK-Position";"KundeName";"SpeditionsGruppe_ID_Nr";"SpeditionsGruppeBemerkung";"Warenempfänger"
"100071031";"100071031-10";10;"Sanitas Troesch AG, Kriens";1;"Sanitas Troesch AG";"H00000022"
"100071039";"100071039-10";10;"Sanitas Troesch AG, Zürich";1;"Sanitas Troesch AG";"H00000022"
"100071039";"100071039-20";20;"Sanitas Troesch AG, Zürich";1;"Sanitas Troesch AG";"H00000022"
"100071172";"100071172-10";10;"Sanitas Troesch AG, Kriens";1;"Sanitas Troesch AG";"H00000022"
"100074903";"100074903-10";10;"Sanitas Troesch AG, St. Gallen";1;"Sanitas Troesch AG";"H00000023"
"100074903";"100074903-11";11;"Sanitas Troesch AG, St. Gallen";1;"Sanitas Troesch AG";"H00000023"
"100074903";"100074903-12";12;"Sanitas Troesch AG, St. Gallen";1;"Sanitas Troesch AG";"H00000023"
"100075774";"100075774-10";10;"Sanitas Troesch AG, Develier";1;"Sanitas Troesch AG";"H00000026"
"100075835";"100075835-30";30;"Sanitas Troesch AG, Winterthur";1;"Sanitas Troesch AG";"H00000022"
"100075845";"100075845-10";10;"Sanitas Troesch AG, Basel";1;"Sanitas Troesch AG";"H00000026"
"100075845";"100075845-20";20;"Sanitas Troesch AG, Basel";1;"Sanitas Troesch AG";"H00000026"
"100075845";"100075845-30";30;"Sanitas Troesch AG, Basel";1;"Sanitas Troesch AG";"H00000026"
"100075870";"100075870-10";10;"Sanitas Troesch AG, Chur";1;"Sanitas Troesch AG";"H00000023"
"100075870";"100075870-20";20;"Sanitas Troesch AG, Chur";1;"Sanitas Troesch AG";"H00000023"
"100075870";"100075870-30";30;"Sanitas Troesch AG, Chur";1;"Sanitas Troesch AG";"H00000023"
"100075870";"100075870-40";40;"Sanitas Troesch AG, Chur";1;"Sanitas Troesch AG";"H00000023"
"100075870";"100075870-50";50;"Sanitas Troesch AG, Chur";1;"Sanitas Troesch AG";"H00000023"
"100075870";"100075870-60";60;"Sanitas Troesch AG, Chur";1;"Sanitas Troesch AG";"H00000023"
"100075870";"100075870-70";70;"Sanitas Troesch AG, Chur";1;"Sanitas Troesch AG";"H00000023"
"100075947";"100075947-10";10;"Sanitas Troesch AG, Thun";1;"Sanitas Troesch AG";"H00000026"
"100075947";"100075947-20";20;"Sanitas Troesch AG, Thun";1;"Sanitas Troesch AG";"H00000026"
"100076497";"100076497-10";10;"Sanitas Troesch AG, St. Gallen";1;"Sanitas Troesch AG";"H00000023"
