"ZollPosition_Nr";"ZollPosition_Bezeichnung";"VK-Auftrag";"VK";"VK-Position";"KundeName";"Warenempfänger";"A_Adresse";"A_Hausnummer";"Land";"Postleitzahl";"Ort";"EORI_Nr";"Geplanter_Liefertermin";"Geplantes_WE_ Datum";"Gewicht_Einzel";"Gewicht_Total";"Betrag";"MengeTotal";"Währung";"MwSt";"Tour";"VersandLager";"Lagerplatz";"LagerBestand";"Eingelagert";"PA_Status";"ArtikelNr";"ArtikelBezeichnung";"ProduktlinieID";"ProduktlinieBezeichnung";"Projekt";"ProjektArtikel";"Warenempfänger_String"
"9403.9090";"Möbelteile aus Holz";"200005479";"200005479-10";10;"Roca GmbH";"H00000331";"Feincheswiese";"17";"DE";"56424";"Staudt";;07.10.2011 00:00:00;13.10.2011 00:00:00;0.00;0.00;26.15;1.00;"Euro";19;"K2";"200";"WE        ";1.00;1;10;"2000054794910700 0001";"Ersatzfront Talux";"49";"Talux";"200005479";"4910700 0001";"Roca GmbH, Feincheswiese 17, DE-56424 Staudt"
"9403.6000";"Holzmöbel";"200005480";"200005480-10";10;"Roca GmbH";"H00000331";"Feincheswiese";"17";"DE";"56424";"Staudt";;07.10.2011 00:00:00;13.10.2011 00:00:00;48.00;48.00;76.58;1.00;"Euro";19;"K2";"200";"WE        ";1.00;1;10;"2000054804910700 0001";"Unterschrank Talux 1160mm";"49";"Talux";"200005480";"4910700 0001";"Roca GmbH, Feincheswiese 17, DE-56424 Staudt"
"9403.6000";"Holzmöbel";"200005487";"200005487-10";10;"Roca GmbH";"H00000331";"Feincheswiese";"17";"DE";"56424";"Staudt";;14.10.2011 00:00:00;14.10.2011 00:00:00;13.70;13.70;248.72;1.00;"Euro";19;"K2";"200";;;1;5;"2000054875020800 0001";"Unterschrank Palomba 800mm";"50";"Palomba";"200005487";"5020800 0001";"Roca GmbH, Feincheswiese 17, DE-56424 Staudt"
"9403.6000";"Holzmöbel";"200005490";"200005490-10";10;"Roca GmbH";"H00000331";"Feincheswiese";"17";"DE";"56424";"Staudt";;14.10.2011 00:00:00;14.10.2011 00:00:00;15.80;15.80;253.69;1.00;"Euro";19;"K2";"200";;;1;5;"2000054905020600 0001";"Unterschrank Palomba 800mm";"50";"Palomba";"200005490";"5020600 0001";"Roca GmbH, Feincheswiese 17, DE-56424 Staudt"
"9403.6000";"Holzmöbel";"200005505";"200005505-10";10;"Roca GmbH";"H00000331";"Feincheswiese";"17";"DE";"56424";"Staudt";;21.10.2011 00:00:00;21.10.2011 00:00:00;21.70;21.70;414.00;1.00;"Euro";19;"K2";"200";;;1;0;"2000055058722000 0001";"Unterschrank Palomba 795 mm";"87";"Palomba 2010";"200005505";"8722000 0001";"Roca GmbH, Feincheswiese 17, DE-56424 Staudt"
"9403.6000";"Holzmöbel";"200005507";"200005507-10";10;"Roca GmbH";"H00000331";"Feincheswiese";"17";"DE";"56424";"Staudt";;21.10.2011 00:00:00;21.10.2011 00:00:00;15.50;15.50;166.00;1.00;"Euro";19;"K2";"200";;;1;0;"2000055078720300 0001";"Unterschrank Palomba 400 mm";"87";"Palomba 2010";"200005507";"8720300 0001";"Roca GmbH, Feincheswiese 17, DE-56424 Staudt"
"9403.6000";"Holzmöbel";"200005507";"200005507-11";11;"Roca GmbH";"H00000331";"Feincheswiese";"17";"DE";"56424";"Staudt";;21.10.2011 00:00:00;21.10.2011 00:00:00;31.60;31.60;254.00;1.00;"Euro";19;"K2";"200";;;1;0;"2000055078720700 0001";"Unterschrank Palomba 800 mm";"87";"Palomba 2010";"200005507";"8720700 0001";"Roca GmbH, Feincheswiese 17, DE-56424 Staudt"
"7324.9021";"Sanitärartikel";"300009624";"300009624-20";20;"Richter + Frenzel Augsburg";"I00002686";"Akazienweg";"35";"DE";"86169";"Augsburg";;07.02.2011 00:00:00;11.02.2011 00:00:00;0.00;0.00;11.77;1.00;"Euro";19;"P";"200";;;1;0;"890154";"Kleinmengenzuschlag";"980";"Dienstleistungen";"         ";"890154      ";"Wächter Jürgen Spenglerei, Akazienweg 35, DE-86169 Augsburg"
"9403.9090";"Möbelteile aus Holz";"300012230";"300012230-10";10;"Richter + Frenzel Nürnberg";"H00000322";"Donaustrasse";"125";"DE";"90451";"Nürnberg";"DE-4949692               ";20.10.2011 00:00:00;20.10.2011 00:00:00;12.00;12.00;197.04;1.00;"Euro";19;"R&F";"200";;;1;0;"3000122307704600 0001";"ABF Kunstharz neo.2 1500mm";"77";"neo.2";"300012230";"7704600 0001";"Richter + Frenzel GmbH + CO. KG, Donaustrasse 125, DE-90451 Nürnberg"
"9403.6000";"Holzmöbel";"300012230";"300012230-11";11;"Richter + Frenzel Nürnberg";"H00000322";"Donaustrasse";"125";"DE";"90451";"Nürnberg";"DE-4949692               ";20.10.2011 00:00:00;20.10.2011 00:00:00;65.00;65.00;702.55;1.00;"Euro";19;"R&F";"200";;;1;0;"3000122307723600 0001";"Unterbau neo.2 1500mm";"77";"neo.2";"300012230";"7723600 0001";"Richter + Frenzel GmbH + CO. KG, Donaustrasse 125, DE-90451 Nürnberg"
