"VK-Auftrag";"VK-Position";"VK";"Lieferadresse";"KundeName";"Tour";"MengeTotal";"ArtikelNr";"ArtikelBezeichnung";"ProduktlinieID";"ProduktlinieBezeichnung";"ArtikelGruppe_ID";"ArtikelgruppeBezeichnung";"Geplanter_Liefertermin";"Geplantes_WE_ Datum";"Gewicht_Einzel";"Gewicht_Total";"Betrag";"Wechselkurs";"Produktionsauftrag";"ZollPosition_Nr";"ZollPosition_Bezeichnung"
"200005408";10;"200005408-10";"Laufen Austria AG, Mariazeller Strasse 100, AT-3150 Wilhelmsburg";"Laufen Austria AG";"K1";2.00;"2000054088720400 0001                          ";"Unterschrank Palomba 400 mm";"87";"Palomba 2010";310;"Unterschränke";24.08.2011 00:00:00;30.08.2011 00:00:00;20.40;40.80;444.00;0.76;"980169262";"9403.6000";"Holzmöbel"
"200005408";11;"200005408-11";"Laufen Austria AG, Mariazeller Strasse 100, AT-3150 Wilhelmsburg";"Laufen Austria AG";"K1";2.00;"2000054088720600 0001                          ";"Unterschrank Palomba 800 mm";"87";"Palomba 2010";310;"Unterschränke";24.08.2011 00:00:00;30.08.2011 00:00:00;15.80;31.60;382.00;0.76;"980169263";"9403.6000";"Holzmöbel"
"200005408";12;"200005408-12";"Laufen Austria AG, Mariazeller Strasse 100, AT-3150 Wilhelmsburg";"Laufen Austria AG";"K1";2.00;"2000054088720700 0001                          ";"Unterschrank Palomba 800 mm";"87";"Palomba 2010";310;"Unterschränke";24.08.2011 00:00:00;30.08.2011 00:00:00;31.60;63.20;508.00;0.76;"980169264";"9403.6000";"Holzmöbel"
"200005408";20;"200005408-20";"Laufen Austria AG, Mariazeller Strasse 100, AT-3150 Wilhelmsburg";"Laufen Austria AG";"K1";2.00;"2000054088721100 0001                          ";"Unterschrank Palomba 400 mm";"87";"Palomba 2010";310;"Unterschränke";24.08.2011 00:00:00;30.08.2011 00:00:00;8.70;17.40;298.00;0.76;"980169265";"9403.6000";"Holzmöbel"
"200005408";21;"200005408-21";"Laufen Austria AG, Mariazeller Strasse 100, AT-3150 Wilhelmsburg";"Laufen Austria AG";"K1";2.00;"2000054088721200 0001                          ";"Unterschrank Palomba 400 mm";"87";"Palomba 2010";310;"Unterschränke";24.08.2011 00:00:00;30.08.2011 00:00:00;8.70;17.40;376.00;0.76;"980169266";"9403.6000";"Holzmöbel"
"200005408";30;"200005408-30";"Laufen Austria AG, Mariazeller Strasse 100, AT-3150 Wilhelmsburg";"Laufen Austria AG";"K1";1.00;"2000054088720500 0001                          ";"Trolley Palomba 400mm";"87";"Palomba 2010";310;"Unterschränke";24.08.2011 00:00:00;30.08.2011 00:00:00;25.20;25.20;252.00;0.76;"980169267";"9403.6000";"Holzmöbel"
"200005408";40;"200005408-40";"Laufen Austria AG, Mariazeller Strasse 100, AT-3150 Wilhelmsburg";"Laufen Austria AG";"K1";2.00;"2000054088710000 0001                          ";"WTPL Palomba B=800 mm, H=32mm";"87";"Palomba 2010";300;"Abstellflächen Kunstharz";24.08.2011 00:00:00;30.08.2011 00:00:00;8.70;17.40;160.00;0.76;"970041114";;
"200005408";41;"200005408-41";"Laufen Austria AG, Mariazeller Strasse 100, AT-3150 Wilhelmsburg";"Laufen Austria AG";"K1";2.00;"2000054088710100 0001                          ";"WTPL Palomba B=1200mm, H=32mm";"87";"Palomba 2010";300;"Abstellflächen Kunstharz";24.08.2011 00:00:00;30.08.2011 00:00:00;13.10;26.20;184.00;0.76;"970041115";;
"200005408";42;"200005408-42";"Laufen Austria AG, Mariazeller Strasse 100, AT-3150 Wilhelmsburg";"Laufen Austria AG";"K1";2.00;"2000054088710200 0001                          ";"WTPL Palomba B=1600mm, H=32mm";"87";"Palomba 2010";300;"Abstellflächen Kunstharz";24.08.2011 00:00:00;30.08.2011 00:00:00;17.40;34.80;228.00;0.76;"970041116";;
"200005408";50;"200005408-50";"Laufen Austria AG, Mariazeller Strasse 100, AT-3150 Wilhelmsburg";"Laufen Austria AG";"K1";2.00;"2000054088720901 0001                          ";"Unterschrank Palomba 400 mm";"87";"Palomba 2010";310;"Unterschränke";24.08.2011 00:00:00;30.08.2011 00:00:00;8.70;17.40;280.00;0.76;"980169268";"9403.6000";"Holzmöbel"
"200005408";51;"200005408-51";"Laufen Austria AG, Mariazeller Strasse 100, AT-3150 Wilhelmsburg";"Laufen Austria AG";"K1";2.00;"2000054088721002 0001                          ";"Unterschrank Palomba 400 mm";"87";"Palomba 2010";310;"Unterschränke";24.08.2011 00:00:00;30.08.2011 00:00:00;8.70;17.40;280.00;0.76;"980169269";"9403.6000";"Holzmöbel"
"200005408";52;"200005408-52";"Laufen Austria AG, Mariazeller Strasse 100, AT-3150 Wilhelmsburg";"Laufen Austria AG";"K1";2.00;"2000054088720800 0001                          ";"Unterschrank Palomba 800 mm";"87";"Palomba 2010";310;"Unterschränke";24.08.2011 00:00:00;30.08.2011 00:00:00;13.70;27.40;374.00;0.76;"980169270";"9403.6000";"Holzmöbel"
"200005408";60;"200005408-60";"Laufen Austria AG, Mariazeller Strasse 100, AT-3150 Wilhelmsburg";"Laufen Austria AG";"K1";2.00;"2000054088710400 0001                          ";"WTPL Palomba B=800 mm, H=80mm";"87";"Palomba 2010";300;"Abstellflächen Kunstharz";24.08.2011 00:00:00;30.08.2011 00:00:00;9.70;19.40;184.00;0.76;"970041117";;
"200005408";61;"200005408-61";"Laufen Austria AG, Mariazeller Strasse 100, AT-3150 Wilhelmsburg";"Laufen Austria AG";"K1";2.00;"2000054088710500 0001                          ";"WTPL Palomba B=1200mm, H=80mm";"87";"Palomba 2010";300;"Abstellflächen Kunstharz";24.08.2011 00:00:00;30.08.2011 00:00:00;13.60;27.20;214.00;0.76;"970041118";;
"200005408";62;"200005408-62";"Laufen Austria AG, Mariazeller Strasse 100, AT-3150 Wilhelmsburg";"Laufen Austria AG";"K1";2.00;"2000054088710600 0001                          ";"WTPL Palomba B=1600mm, H=80mm";"87";"Palomba 2010";300;"Abstellflächen Kunstharz";24.08.2011 00:00:00;30.08.2011 00:00:00;17.80;35.60;262.00;0.76;"970041119";;
"200005408";70;"200005408-70";"Laufen Austria AG, Mariazeller Strasse 100, AT-3150 Wilhelmsburg";"Laufen Austria AG";"K1";6.00;"2000054088722000 0001                          ";"Unterschrank Palomba 795 mm";"87";"Palomba 2010";310;"Unterschränke";24.08.2011 00:00:00;30.08.2011 00:00:00;21.70;130.20;2436.00;0.76;"980169271";"9403.6000";"Holzmöbel"
"200005408";71;"200005408-71";"Laufen Austria AG, Mariazeller Strasse 100, AT-3150 Wilhelmsburg";"Laufen Austria AG";"K1";2.00;"2000054088722000 0002                          ";"Unterschrank Palomba 795 mm";"87";"Palomba 2010";310;"Unterschränke";24.08.2011 00:00:00;30.08.2011 00:00:00;21.70;43.40;540.00;0.76;"980169272";"9403.6000";"Holzmöbel"
"200005408";72;"200005408-72";"Laufen Austria AG, Mariazeller Strasse 100, AT-3150 Wilhelmsburg";"Laufen Austria AG";"K1";12.00;"2000054088722202 0001                          ";"Unterschrank Palomba 1190mm";"87";"Palomba 2010";310;"Unterschränke";24.08.2011 00:00:00;30.08.2011 00:00:00;33.40;400.80;6264.00;0.76;"980169273";"9403.6000";"Holzmöbel"
"200005408";73;"200005408-73";"Laufen Austria AG, Mariazeller Strasse 100, AT-3150 Wilhelmsburg";"Laufen Austria AG";"K1";4.00;"2000054088722202 0002                          ";"Unterschrank Palomba 1190mm";"87";"Palomba 2010";310;"Unterschränke";24.08.2011 00:00:00;30.08.2011 00:00:00;33.40;133.60;1432.00;0.76;"980169274";"9403.6000";"Holzmöbel"
"200005408";80;"200005408-80";"Laufen Austria AG, Mariazeller Strasse 100, AT-3150 Wilhelmsburg";"Laufen Austria AG";"K1";3.00;"2000054088722300 0001                          ";"Unterschrank Palomba 1585mm";"87";"Palomba 2010";310;"Unterschränke";24.08.2011 00:00:00;30.08.2011 00:00:00;46.30;138.90;1995.00;0.76;"980169275";"9403.6000";"Holzmöbel"
"200005408";81;"200005408-81";"Laufen Austria AG, Mariazeller Strasse 100, AT-3150 Wilhelmsburg";"Laufen Austria AG";"K1";2.00;"2000054088722300 0002                          ";"Unterschrank Palomba 1585mm";"87";"Palomba 2010";310;"Unterschränke";24.08.2011 00:00:00;30.08.2011 00:00:00;46.30;92.60;900.20;0.76;"980169276";"9403.6000";"Holzmöbel"
"200005408";82;"200005408-82";"Laufen Austria AG, Mariazeller Strasse 100, AT-3150 Wilhelmsburg";"Laufen Austria AG";"K1";6.00;"2000054088722500 0001                          ";"Unterschrank Palomba 1590mm";"87";"Palomba 2010";310;"Unterschränke";24.08.2011 00:00:00;30.08.2011 00:00:00;42.10;252.60;3406.80;0.76;"980169277";"9403.6000";"Holzmöbel"
"200005408";83;"200005408-83";"Laufen Austria AG, Mariazeller Strasse 100, AT-3150 Wilhelmsburg";"Laufen Austria AG";"K1";2.00;"2000054088722500 0002                          ";"Unterschrank Palomba 1590mm";"87";"Palomba 2010";310;"Unterschränke";24.08.2011 00:00:00;30.08.2011 00:00:00;42.10;84.20;745.00;0.76;"980169278";"9403.6000";"Holzmöbel"
"200005417";10;"200005417-10";"Keramik Laufen AG, Langhagweg 40, CH-4242 Laufen";"Keramik Laufen";"K2";1.00;"2000054175040000 0001                          ";"Spiegelwand Palomba 1200mm";"50";"Palomba";340;"Spiegelwände";26.08.2011 00:00:00;22.08.2011 00:00:00;8.40;8.40;70.83;0.76;"960041459";"7009.9190";"Glasspiegel"
"200005417";20;"200005417-20";"Keramik Laufen AG, Langhagweg 40, CH-4242 Laufen";"Keramik Laufen";"K2";1.00;"2000054175090200 0001                          ";"Spiegelleuchte Palomba";"50";"Palomba";398;"Möbeleinzelteile";26.08.2011 00:00:00;22.08.2011 00:00:00;1.50;1.50;43.76;0.76;"980169477";;
"200005417";30;"200005417-30";"Keramik Laufen AG, Langhagweg 40, CH-4242 Laufen";"Keramik Laufen";"K2";1.00;"2000054178722500 0001                          ";"Unterschrank Palomba 1590mm";"87";"Palomba 2010";310;"Unterschränke";26.08.2011 00:00:00;22.08.2011 00:00:00;42.10;42.10;293.50;0.76;"980169478";"9403.6000";"Holzmöbel"
"200005417";40;"200005417-40";"Keramik Laufen AG, Langhagweg 40, CH-4242 Laufen";"Keramik Laufen";"K2";1.00;"2000054175040100 0001                          ";"Spiegelwand Palomba 1600mm";"50";"Palomba";340;"Spiegelwände";26.08.2011 00:00:00;22.08.2011 00:00:00;11.60;11.60;81.40;0.76;"960041460";"7009.9190";"Glasspiegel"
"200005417";41;"200005417-41";"Keramik Laufen AG, Langhagweg 40, CH-4242 Laufen";"Keramik Laufen";"K2";2.00;"2000054175090200 0002                          ";"Spiegelleuchte Palomba";"50";"Palomba";398;"Möbeleinzelteile";26.08.2011 00:00:00;22.08.2011 00:00:00;1.50;3.00;87.52;0.76;"980169479";;
"200005418";10;"200005418-10";"Laufen CZ, s.r.o., Na Libusi 717, CZ-39165 Bechyne";"Laufen CZ s.r.o.";"K3";1.00;"2000054188722000 0001                          ";"Unterschrank Palomba 795 mm";"87";"Palomba 2010";310;"Unterschränke";29.08.2011 00:00:00;08.09.2011 00:00:00;21.70;21.70;270.00;0.76;"980169704";"9403.6000";"Holzmöbel"
"200005419";10;"200005419-10";"Laufen Austria AG, Mariazeller Strasse 100, AT-3150 Wilhelmsburg";"Laufen Austria AG";"K1";1.00;"2000054195030000 0001                          ";"Seitenelement Palomba 400mm";"50";"Palomba";370;"Seitenschränke";24.08.2011 00:00:00;30.08.2011 00:00:00;25.60;25.60;327.48;0.76;"980169705";"9403.6000";"Holzmöbel"
"200005420";10;"200005420-10";"Roca GmbH, Feincheswiese 17, DE-56424 Staudt";"Roca GmbH";"K2";1.00;"2000054208722000 0001                          ";"Unterschrank Palomba 795 mm";"87";"Palomba 2010";310;"Unterschränke";26.08.2011 00:00:00;26.08.2011 00:00:00;21.70;21.70;414.00;0.76;"980169706";"9403.6000";"Holzmöbel"
"200005421";10;"200005421-10";"Laufen Austria AG, Mariazeller Strasse 100, AT-3150 Wilhelmsburg";"Laufen Austria AG";"K1";2.00;"2000054218722500 0001                          ";"Unterschrank Palomba 1590mm";"87";"Palomba 2010";310;"Unterschränke";24.08.2011 00:00:00;30.08.2011 00:00:00;42.10;84.20;745.00;0.76;"980170757";"9403.6000";"Holzmöbel"
"200005421";20;"200005421-20";"Laufen Austria AG, Mariazeller Strasse 100, AT-3150 Wilhelmsburg";"Laufen Austria AG";"K1";1.00;"2000054215040100 0001                          ";"Spiegelwand Palomba 1600mm";"50";"Palomba";340;"Spiegelwände";24.08.2011 00:00:00;30.08.2011 00:00:00;11.60;11.60;162.80;0.76;"960042110";"7009.9190";"Glasspiegel"
"200005422";10;"200005422-10";"Laufen Austria AG, Mariazeller Strasse 100, AT-3150 Wilhelmsburg";"Laufen Austria AG";"K1";2.00;"2000054225090200 0001                          ";"Spiegelleuchte Palomba";"50";"Palomba";398;"Möbeleinzelteile";24.08.2011 00:00:00;30.08.2011 00:00:00;1.50;3.00;169.52;0.76;"980170758";;
"200005422";20;"200005422-20";"Laufen Austria AG, Mariazeller Strasse 100, AT-3150 Wilhelmsburg";"Laufen Austria AG";"K1";2.00;"2000054225090200 0002                          ";"Spiegelleuchte Palomba";"50";"Palomba";398;"Möbeleinzelteile";24.08.2011 00:00:00;30.08.2011 00:00:00;1.50;3.00;169.52;0.76;"980170759";;
"200005423";10;"200005423-10";"Laufen Austria AG, Mariazeller Strasse 100, AT-3150 Wilhelmsburg";"Laufen Austria AG";"K1";1.00;"2000054238722500 0001                          ";"Unterschrank Palomba 1590mm";"87";"Palomba 2010";310;"Unterschränke";24.08.2011 00:00:00;30.08.2011 00:00:00;42.10;42.10;190.00;0.76;"980170762";"9403.6000";"Holzmöbel"
"200005423";11;"200005423-11";"Laufen Austria AG, Mariazeller Strasse 100, AT-3150 Wilhelmsburg";"Laufen Austria AG";"K1";1.00;"2000054238730000 0001                          ";"Seitenelement Palomba 400mm";"87";"Palomba 2010";370;"Seitenschränke";24.08.2011 00:00:00;30.08.2011 00:00:00;25.60;25.60;123.00;0.76;"980170763";"9403.6000";"Holzmöbel"
"200005423";20;"200005423-20";"Laufen Austria AG, Mariazeller Strasse 100, AT-3150 Wilhelmsburg";"Laufen Austria AG";"K1";1.00;"2000054235040100 0001                          ";"Spiegelwand Palomba 1600mm";"50";"Palomba";340;"Spiegelwände";24.08.2011 00:00:00;30.08.2011 00:00:00;11.60;11.60;81.40;0.76;"960042113";"7009.9190";"Glasspiegel"
"200005424";10;"200005424-10";"Laufen Austria AG, Mariazeller Strasse 100, AT-3150 Wilhelmsburg";"Laufen Austria AG";"K1";1.00;"2000054245020400 0001                          ";"Unterschrank Palomba 400mm";"50";"Palomba";310;"Unterschränke";24.08.2011 00:00:00;30.08.2011 00:00:00;20.40;20.40;294.93;0.76;"980170760";"9403.6000";"Holzmöbel"
"200005424";11;"200005424-11";"Laufen Austria AG, Mariazeller Strasse 100, AT-3150 Wilhelmsburg";"Laufen Austria AG";"K1";1.00;"2000054245040300 0001                          ";"Spiegelwand Palomba 600 mm";"50";"Palomba";340;"Spiegelwände";24.08.2011 00:00:00;30.08.2011 00:00:00;5.70;5.70;170.17;0.76;"960042111";"7009.9190";"Glasspiegel"
"200005424";12;"200005424-12";"Laufen Austria AG, Mariazeller Strasse 100, AT-3150 Wilhelmsburg";"Laufen Austria AG";"K1";2.00;"2000054245040000 0001                          ";"Spiegelwand Palomba 1200mm";"50";"Palomba";340;"Spiegelwände";24.08.2011 00:00:00;30.08.2011 00:00:00;8.40;16.80;283.34;0.76;"960042112";"7009.9190";"Glasspiegel"
"200005424";20;"200005424-20";"Laufen Austria AG, Mariazeller Strasse 100, AT-3150 Wilhelmsburg";"Laufen Austria AG";"K1";1.00;"2000054248722202 0001                          ";"Unterschrank Palomba 1190mm";"87";"Palomba 2010";310;"Unterschränke";24.08.2011 00:00:00;30.08.2011 00:00:00;33.40;33.40;370.00;0.76;"980170761";"9403.6000";"Holzmöbel"
"200005425";10;"200005425-10";"Laufen Austria AG, Mariazeller Strasse 100, AT-3150 Wilhelmsburg";"Laufen Austria AG";"K1";1.00;"2000054255010500 0001                          ";"WTPL Palomba B=1200mm, H=78mm";"87";"Palomba 2010";300;"Abstellflächen Kunstharz";24.08.2011 00:00:00;30.08.2011 00:00:00;13.60;13.60;132.65;0.76;"970041430";;
"200005425";20;"200005425-20";"Laufen Austria AG, Mariazeller Strasse 100, AT-3150 Wilhelmsburg";"Laufen Austria AG";"K1";1.00;"2000054258722500 0001                          ";"Unterschrank Palomba 1590mm";"87";"Palomba 2010";310;"Unterschränke";24.08.2011 00:00:00;30.08.2011 00:00:00;42.10;42.10;380.00;0.76;"980170764";"9403.6000";"Holzmöbel"
"200005426";10;"200005426-10";"Laufen Austria AG, Mariazeller Strasse 100, AT-3150 Wilhelmsburg";"Laufen Austria AG";"K1";1.00;"2000054265010700 0001                          ";"WTPL Palomba B=2000mm, H=78mm";"87";"Palomba 2010";300;"Abstellflächen Kunstharz";24.08.2011 00:00:00;30.08.2011 00:00:00;17.80;17.80;185.50;0.76;"970041466";;
"200005426";11;"200005426-11";"Laufen Austria AG, Mariazeller Strasse 100, AT-3150 Wilhelmsburg";"Laufen Austria AG";"K1";1.00;"2000054265010500 0001                          ";"WTPL Palomba B=1200mm, H=78mm";"87";"Palomba 2010";300;"Abstellflächen Kunstharz";24.08.2011 00:00:00;30.08.2011 00:00:00;13.60;13.60;161.20;0.76;"970041467";;
"200005426";12;"200005426-12";"Laufen Austria AG, Mariazeller Strasse 100, AT-3150 Wilhelmsburg";"Laufen Austria AG";"K1";1.00;"2000054265020600 0001                          ";"Unterschrank Palomba 800mm";"50";"Palomba";310;"Unterschränke";24.08.2011 00:00:00;30.08.2011 00:00:00;15.80;15.80;253.69;0.76;"980170932";"9403.6000";"Holzmöbel"
