"ZollPosition_Nr";"ZollPosition_Bezeichnung";"VK-Auftrag";"VK";"VK-Position";"Lieferadresse";"KundeName";"Warenempfänger";"Land";"Handelspartner_Land";"Handelspartner_Adress_Nr";"Handelspartner_Name";"Handelspartener_Name_Zusatz";"Handelspartner_Strasse";"Handelspartner_Strasse_Nr";"Handelspartner_PLZ";"Handelspartner_Ort";"EORI_Nr";"Geplanter_Liefertermin";"Geplantes_WE_ Datum";"Gewicht_Einzel";"Gewicht_Total";"Betrag";"MengeTotal";"Währung";"MwSt"
"9403.6000";"Holzmöbel";"200005447";"200005447-10";10;"Roca GmbH, Feincheswiese 17, DE-56424 Staudt";"Roca GmbH";"H00000331";"DE";;;;;;;;;;09.09.2011 00:00:00;09.09.2011 00:00:00;53.00;53.00;440.69;1.00;"Euro";19
"9403.6000";"Holzmöbel";"200005457";"200005457-10";10;"Roca GmbH, Feincheswiese 17, DE-56424 Staudt";"Roca GmbH";"H00000331";"DE";;;;;;;;;;09.09.2011 00:00:00;09.09.2011 00:00:00;0.00;0.00;570.50;50.00;"Euro";19
"7009.9190";"Glasspiegel";"300011609";"300011609-10";10;"Richter + Frenzel GmbH + CO. KG, K. Hammerschmidt-Str. 51, DE-85609 Aschheim-Dornach";"Richter + Frenzel Aschheim-Dornach";"H00000337";"DE";"DE ";"H00000337";"Richter + Frenzel GmbH + CO. KG    ";"Niederlassung München         ";"K. Hammerschmidt-Str.";"51";"85609     ";"Aschheim-Dornach              ";"DE-4949692               ";01.09.2011 00:00:00;06.09.2011 00:00:00;24.00;24.00;576.75;1.00;"Euro";19
"7009.9190";"Glasspiegel";"300011609";"300011609-20";20;"Richter + Frenzel GmbH + CO. KG, K. Hammerschmidt-Str. 51, DE-85609 Aschheim-Dornach";"Richter + Frenzel Aschheim-Dornach";"H00000337";"DE";"DE ";"H00000337";"Richter + Frenzel GmbH + CO. KG    ";"Niederlassung München         ";"K. Hammerschmidt-Str.";"51";"85609     ";"Aschheim-Dornach              ";"DE-4949692               ";01.09.2011 00:00:00;06.09.2011 00:00:00;24.00;24.00;576.75;1.00;"Euro";19
"9403.6000";"Holzmöbel";"300011609";"300011609-30";30;"Richter + Frenzel GmbH + CO. KG, K. Hammerschmidt-Str. 51, DE-85609 Aschheim-Dornach";"Richter + Frenzel Aschheim-Dornach";"H00000337";"DE";"DE ";"H00000337";"Richter + Frenzel GmbH + CO. KG    ";"Niederlassung München         ";"K. Hammerschmidt-Str.";"51";"85609     ";"Aschheim-Dornach              ";"DE-4949692               ";01.09.2011 00:00:00;06.09.2011 00:00:00;12.00;12.00;225.52;1.00;"Euro";19
"7324.9021";"Sanitärartikel";"300011657";"300011657-10";10;"Richter + Frenzel GmbH + Co.KG, Fichtenweg 2, DE-99198 Kerspleben";"Richter + Frenzel Erfurt-Kerspleben";"H00000364";"DE";"DE ";"H00000364";"Richter + Frenzel GmbH + Co.KG     ";"Niederlassung Kerspleben      ";"Fichtenweg";"2";"99198     ";"Kerspleben                    ";"DE-4949692               ";08.09.2011 00:00:00;09.09.2011 00:00:00;16.00;16.00;357.35;1.00;"Euro";19
"9403.6000";"Holzmöbel";"300011657";"300011657-11";11;"Richter + Frenzel GmbH + Co.KG, Fichtenweg 2, DE-99198 Kerspleben";"Richter + Frenzel Erfurt-Kerspleben";"H00000364";"DE";"DE ";"H00000364";"Richter + Frenzel GmbH + Co.KG     ";"Niederlassung Kerspleben      ";"Fichtenweg";"2";"99198     ";"Kerspleben                    ";"DE-4949692               ";08.09.2011 00:00:00;09.09.2011 00:00:00;35.00;35.00;467.99;1.00;"Euro";19
"9403.6000";"Holzmöbel";"300011657";"300011657-20";20;"Richter + Frenzel GmbH + Co.KG, Fichtenweg 2, DE-99198 Kerspleben";"Richter + Frenzel Erfurt-Kerspleben";"H00000364";"DE";"DE ";"H00000364";"Richter + Frenzel GmbH + Co.KG     ";"Niederlassung Kerspleben      ";"Fichtenweg";"2";"99198     ";"Kerspleben                    ";"DE-4949692               ";08.09.2011 00:00:00;09.09.2011 00:00:00;30.00;30.00;442.09;1.00;"Euro";19
"9403.6000";"Holzmöbel";"300011657";"300011657-30";30;"Richter + Frenzel GmbH + Co.KG, Fichtenweg 2, DE-99198 Kerspleben";"Richter + Frenzel Erfurt-Kerspleben";"H00000364";"DE";"DE ";"H00000364";"Richter + Frenzel GmbH + Co.KG     ";"Niederlassung Kerspleben      ";"Fichtenweg";"2";"99198     ";"Kerspleben                    ";"DE-4949692               ";08.09.2011 00:00:00;09.09.2011 00:00:00;31.00;31.00;609.23;1.00;"Euro";19
"9403.9090";"Möbelteile aus Holz";"300011657";"300011657-40";40;"Richter + Frenzel GmbH + Co.KG, Fichtenweg 2, DE-99198 Kerspleben";"Richter + Frenzel Erfurt-Kerspleben";"H00000364";"DE";"DE ";"H00000364";"Richter + Frenzel GmbH + Co.KG     ";"Niederlassung Kerspleben      ";"Fichtenweg";"2";"99198     ";"Kerspleben                    ";"DE-4949692               ";08.09.2011 00:00:00;09.09.2011 00:00:00;5.00;5.00;89.93;1.00;"Euro";19
"9403.6000";"Holzmöbel";"300011764";"300011764-10";10;"Richter + Frenzel GmbH + Co.KG, Hechtsheimer Strasse 2, DE-55131 Mainz";"Richter + Frenzel Mainz";"H00000370";"DE";"DE ";"H00000370";"Richter + Frenzel GmbH + Co.KG     ";"Niederlassung Mainz           ";"Hechtsheimer Strasse";"2";"55131     ";"Mainz                         ";"DE-4949692               ";09.09.2011 00:00:00;15.09.2011 00:00:00;9999.00;9999.00;706.22;1.00;"Euro";19
"9403.9090";"Möbelteile aus Holz";"300011768";"300011768-10";10;"Richter + Frenzel GmbH + Co.KG, Gobietstr. 5, DE-34123 Kassel";"Richter + Frenzel Kassel";"H00000356";"DE";"DE ";"H00000356";"Richter + Frenzel GmbH + Co.KG     ";"Niederlassung Kassel          ";"Gobietstr.";"5";"34123     ";"Kassel                        ";"DE-4949692               ";01.09.2011 00:00:00;01.09.2011 00:00:00;10.00;10.00;195.39;1.00;"Euro";19
"9403.6000";"Holzmöbel";"300011768";"300011768-11";11;"Richter + Frenzel GmbH + Co.KG, Gobietstr. 5, DE-34123 Kassel";"Richter + Frenzel Kassel";"H00000356";"DE";"DE ";"H00000356";"Richter + Frenzel GmbH + Co.KG     ";"Niederlassung Kassel          ";"Gobietstr.";"5";"34123     ";"Kassel                        ";"DE-4949692               ";01.09.2011 00:00:00;01.09.2011 00:00:00;30.00;30.00;669.97;1.00;"Euro";19
"9403.6000";"Holzmöbel";"300011768";"300011768-12";12;"Richter + Frenzel GmbH + Co.KG, Gobietstr. 5, DE-34123 Kassel";"Richter + Frenzel Kassel";"H00000356";"DE";"DE ";"H00000356";"Richter + Frenzel GmbH + Co.KG     ";"Niederlassung Kassel          ";"Gobietstr.";"5";"34123     ";"Kassel                        ";"DE-4949692               ";01.09.2011 00:00:00;01.09.2011 00:00:00;32.00;32.00;376.65;1.00;"Euro";19
