"MDB_ID";"MDB_Name";"MDB_Bemerkung_01";"MDB_Bemerkung_02";"MDB_Bemerkung_03";"MdbArt_ID";"MdbArt_Art";"MdbArt_Bemerkung_01";"MDB_Rechte_Soll";"Rechte_Bemerkung_01";"MDB_Pfad";"MDB_Pfad_LW"
1;"AuftragsdatenTabellen.mdb";"Auftragsdaten";;;2;"BE";"Backend (Tabellen)";5;"Administrator";"P:/Datenbanken/Tabellen/AuftragsdatenTabellen.mdb";"P:/Datenbanken/Tabellen"
2;"BeschaffungTabellen.mdb";"Beschaffung und EInkauf";;;2;"BE";"Backend (Tabellen)";5;"Administrator";"P:/Datenbanken/Tabellen/BeschaffungTabellen.mdb";"P:/Datenbanken/Tabellen"
3;"ElementDatenTabellen.mdb";"VC Elemente (Soorpark)";;;2;"BE";"Backend (Tabellen)";5;"Administrator";"P:/Datenbanken/Tabellen/ElementDatenTabellen.mdb";"P:/Datenbanken/Tabellen"
4;"ProduktionTabellen.mdb";"Produktion";;;2;"BE";"Backend (Tabellen)";5;"Administrator";"P:/Datenbanken/Tabellen/ProduktionTabellen.mdb";"P:/Datenbanken/Tabellen"
5;"ProtokollTabellen.mdb";"Protokolldaten aus AutoRun MDB";;;2;"BE";"Backend (Tabellen)";5;"Administrator";"P:/Datenbanken/Tabellen/ProtokollTabellen.mdb";"P:/Datenbanken/Tabellen"
6;"StuecklistenTabellen.mdb";"Stücklisten";;;2;"BE";"Backend (Tabellen)";5;"Administrator";"P:/Datenbanken/Tabellen/StuecklistenTabellen.mdb";"P:/Datenbanken/Tabellen"
7;"VerkaufTabellen.mdb";"Verkaufsdaten";;;2;"BE";"Backend (Tabellen)";5;"Administrator";"P:/Datenbanken/Tabellen/VerkaufTabellen.mdb";"P:/Datenbanken/Tabellen"
8;"Baan.mdb";"Baanschnittstelle";;;1;"FE";"Frontend (Anwendung)";5;"Administrator";"I:/Daten/Baan.mdb";"I:/Daten"
9;"User.mdb";"Anmelde Steuerung";;;1;"FE";"Frontend (Anwendung)";5;"Administrator";"P:/Datenbanken/System/User.mdb";"P:/Datenbanken/System"
10;"LogFile.mdb";"DB Aktivität ";;;1;"FE";"Frontend (Anwendung)";5;"Administrator";"P:/Datenbanken/System/LogFile.mdb";"P:/Datenbanken/System"
11;"UserTest.mdb";"User Registrieren";;;1;"FE";"Frontend (Anwendung)";5;"Administrator";"P:/Datenbanken/Frontend/UserTest.mdb";"P:/Datenbanken/Frontend"
12;"Produktion-Test-BA.mdb";"Produktion Test BA";"Test";;1;"FE";"Frontend (Anwendung)";5;"Administrator";"P:/Datenbanken/Frontend/Produktion-Test-BA.mdb";"P:/Datenbanken/Frontend"
13;"Variella-Ablage.mdb";"VC Elemente Aufträge Archivieren";;;1;"FE";"Frontend (Anwendung)";5;"Administrator";"P:/Datenbanken/Soorpark/System/Variella-Ablage.mdb";"P:/Datenbanken/Soorpark/System"
14;"Variella-RG.mdb";"VC Elemente RG erstellen";;;1;"FE";"Frontend (Anwendung)";5;"Administrator";"P:/Datenbanken/Soorpark/System/Variella-RG.mdb";"P:/Datenbanken/Soorpark/System"
15;"Ausbildung.mdb";"Ausbildungsübersicht PSO";;;1;"FE";"Frontend (Anwendung)";2;"Teamleiter";"P:/Datenbanken/Soorpark/Frontend/Ausbildung.mdb";"P:/Datenbanken/Soorpark/Frontend"
16;"Disposition.mdb";"Kopie von Dispo Soorpark";;;1;"FE";"Frontend (Anwendung)";1;"Standard";"P:/Datenbanken/Soorpark/Frontend/Disposition.mdb";"P:/Datenbanken/Soorpark/Frontend"
17;"Farbmuster.mdb";"Farbmuster Etiketten drucken";;;1;"FE";"Frontend (Anwendung)";1;"Standard";"P:/Datenbanken/Soorpark/Frontend/Farbmuster.mdb";"P:/Datenbanken/Soorpark/Frontend"
18;"Kalkulation.mdb";"VC Kalkulation";;;1;"FE";"Frontend (Anwendung)";2;"Teamleiter";"P:/Datenbanken/Soorpark/Frontend/Kalkulation.mdb";"P:/Datenbanken/Soorpark/Frontend"
19;"Material.mdb";"VC Material";;;1;"FE";"Frontend (Anwendung)";2;"Teamleiter";"P:/Datenbanken/Soorpark/Frontend/Material.mdb";"P:/Datenbanken/Soorpark/Frontend"
20;"MaterialInventar.mdb";"Inventar PSO";;;1;"FE";"Frontend (Anwendung)";2;"Teamleiter";"P:/Datenbanken/Soorpark/Frontend/MaterialInventar.mdb";"P:/Datenbanken/Soorpark/Frontend"
